Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
93671,Marika Avtandilovna Pertakhiya,F,21.0,170.0,56.0,Russia,RUS
94359,Beat Pfister,M,23.0,189.0,69.0,Switzerland,SUI
95060,Tatjana Lofamakanda Pinto,F,24.0,170.0,56.0,Germany,GER
95759,Matja Poklukar,M,33.0,183.0,74.0,Slovenia,SLO
96458,Herman Karel Potgieter,M,24.0,192.0,120.0,South Africa,RSA
97172,Valentin Ivanovich Prokopov,M,27.0,,,Soviet Union,URS
97872,Charles Quervel,M,,,,France,FRA
98590,Edvinas Ramanauskas,M,30.0,184.0,90.0,Lithuania,LTU
99299,Jean-Luc Razakarivony,M,28.0,190.0,82.0,Madagascar,MAD
100028,Efthymios Rentzias,M,20.0,213.0,115.0,Greece,GRE
