Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
43280,Wolfgang Gruber,M,23.0,183.0,81.0,West Germany,FRG
44012,Hilda Carolyn Gurney,F,32.0,168.0,63.0,United States,USA
44732,Kim Hagger,F,22.0,171.0,62.0,Great Britain,GBR
45460,"Qi ""Kevin"" Han",M,27.0,187.0,86.0,United States,USA
46191,Tremaine Ryan Alexander Harris,M,20.0,181.0,81.0,Canada,CAN
46932,He Liping,F,23.0,174.0,68.0,China,CHN
47635,"Timothy Henry ""Tim"" Henman",M,29.0,185.0,77.0,Great Britain,GBR
48375,Delphyne Heymann-Burlet,F,25.0,163.0,56.0,France,FRA
49075,Sjoerd Evert Hoekstra,M,25.0,192.0,86.0,Netherlands,NED
49786,Albert Hood,M,19.0,150.0,56.0,United States,USA
