Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
107888,Lilli Schwarzkopf,F,28.0,174.0,65.0,Germany,GER
108611,Celal ener,M,18.0,,,Turkey,TUR
109360,Robert' Shavlaq'adze,M,31.0,186.0,80.0,Soviet Union,URS
110096,Lyubov Andreyevna Shutova,F,29.0,177.0,64.0,Russia,RUS
110785,Jrgen Simon,M,22.0,186.0,85.0,Germany,GER
111519,Helge Evert Sjgren,M,25.0,,,Sweden,SWE
112211,Cecile Elaine Eustace Smith (-Hedstrom),F,15.0,,,Canada,CAN
112937,Petrissa Solja,F,22.0,168.0,67.0,Germany,GER
113713,Albert Ralph Spearow,M,28.0,180.0,66.0,United States,USA
114416,Andrs Stark,M,26.0,162.0,79.0,Hungary,HUN
