,Unnamed: 0,Athlete ID,Name,Sex,Age,Height,Weight,Team,NOC
140,140000,100737,Bruno Riem,M,,,,Switzerland,SUI
141,141000,101458,"Matthew MacKenzie ""Mack"" Robinson",M,22.0,186.0,77.0,United States,USA
142,142000,102162,Pierre Rolland,M,21.0,184.0,67.0,France,FRA
143,143000,102890,Lydia Chebet Rotich,F,23.0,157.0,45.0,Kenya,KEN
144,144000,103592,Ihor Pavlovych Russ,M,27.0,174.0,62.0,Ukraine,UKR
145,145000,104314,Hayrullah ahinkaya,M,26.0,169.0,63.0,Turkey,TUR
146,146000,105034,Erasto Kambon Sampson,M,21.0,,,Saint Vincent and the Grenadines,VIN
147,147000,105748,Jlia Albino Sard,F,33.0,174.0,64.0,Brazil,BRA
148,148000,106460,"Edward Richard ""Eddie"" Scarf",M,27.0,180.0,99.0,Australia,AUS
149,149000,107173,Sandra Marie Schmirler (-Peterson-),F,34.0,184.0,72.0,Canada,CAN
