ptr,Team
5-8,Aretusa
2-4,Argentina
8-5,Argentina
1-6,Argentina
14-8,Australia
17-3,Australia
18-3,Australia
1-9,Australia
11-6,Belarus
5-5,Belgium
0-6,Belgium
0-3,Benin
10-9,Bolivia
3-4,Brazil
3-2,Brazil
14-7,Brazil
12-8,Bulgaria
3-8,Bulgaria
11-0,Cameroon
10-8,Canada
2-1,Canada
6-4,Canada
17-1,Canada
14-9,Canada
15-6,Canada
0-4,Chile
9-7,China
0-0,China
17-9,China
6-5,China
2-8,China
9-8,Chinese Taipei
16-2,Chinese Taipei-2
1-5,Club Nautique de Franais-1
2-7,Costa Rica
16-8,Croatia
9-9,Cuba
8-2,Cyprus
8-8,Czech Republic
7-4,Czech Republic
10-5,Czechoslovakia
7-0,Czechoslovakia
7-8,Czechoslovakia
18-2,Denmark
11-4,Denmark
9-3,Denmark
4-8,Dominican Republic
17-2,Finland
9-1,Finland
7-7,Finland
8-6,Finland
4-4,Finland
6-7,France
14-2,France
0-9,France
7-5,France
3-9,France
17-6,France
13-6,France
3-7,France
12-5,France
12-6,France-2
5-1,Germany
17-8,Germany
9-5,Germany
15-0,Germany
15-7,Germany
5-6,Germany
0-8,Germany
17-7,Germany
13-2,Germany
18-7,Germany
15-4,Germany
4-9,Germany
10-0,Germany-1
18-1,Great Britain
6-2,Great Britain
6-6,Great Britain
0-2,Great Britain
11-1,Greece
13-9,Greece
8-7,Greece
8-9,Hungary
12-4,Hungary
16-9,Hungary
18-8,Hungary
15-9,Hungary
8-4,Hungary-2
9-0,India
2-3,Ireland
2-0,Italy
1-3,Italy
3-1,Italy
16-5,Italy
5-2,Japan
8-0,Japan
0-1,Japan
11-7,Japan
12-0,Japan
11-8,Japan
10-3,Japan
18-4,Kazakhstan
14-3,Kenya
13-7,Lithuania
4-5,Llanoria
5-0,Luxembourg
13-8,Madagascar
1-8,Malta
10-1,Mauritius
17-0,Mexico
12-9,Mexico
18-6,Moldova
10-4,Moldova
5-3,Monaco
1-4,Netherlands
3-6,Netherlands
17-5,Netherlands
16-6,Netherlands
6-8,Netherlands
0-5,Norway
11-5,Pakistan
7-1,Pakistan
12-2,Philippines
16-7,Philippines
7-9,Poland
12-1,Poland
12-3,Poland
2-9,Poland
16-4,Poland
2-6,Portugal
1-7,Portugal
7-3,Romania
13-0,Russia
15-3,Russia
18-5,Russia
14-6,Saint Vincent and the Grenadines
16-3,Senegal
5-9,Serbia and Montenegro
2-2,Slovenia
13-3,Slovenia
13-4,South Africa
10-2,South Africa
17-4,South Africa
9-4,South Korea
12-7,South Korea
8-3,South Korea
7-2,South Korea
13-5,Soviet Union
1-0,Soviet Union
4-0,Soviet Union
15-2,Soviet Union
5-4,Spain
2-5,Spain
1-2,Spain
3-3,Spain
0-7,Spain
4-6,Spain
15-5,Sweden
7-6,Sweden
18-0,Switzerland
13-1,Switzerland
14-0,Switzerland
15-1,Turkey
14-5,Turkey
3-5,Turkey
10-7,Ukraine
4-3,Ukraine
14-4,Ukraine
4-7,United Arab Emirates
9-6,United States
4-2,United States
9-2,United States
3-0,United States
5-7,United States
11-3,United States
14-1,United States
4-1,United States
15-8,United States
8-1,United States
6-1,United States
16-0,United States
6-3,United States
1-1,United States
6-9,United States
11-9,United States-1
6-0,West Germany
10-6,Yugoslavia
16-1,Yugoslavia
11-2,Zimbabwe
