,Unnamed: 0,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
130,130000,65439,NOR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,
131,131000,65943,MAR,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Individual Time Trial,
132,132000,66435,GER,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Gold
133,133000,66946,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Gold
134,134000,67472,TPE,2012 Summer,2012,Summer,London,Archery,Archery Women's Individual,
135,135000,67926,KOR,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Silver
136,136000,68425,FIN,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,
137,137000,68878,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
138,138000,69346,CHN,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Shot Put,
139,139000,69825,FIN,1972 Winter,1972,Winter,Sapporo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,
