,Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
80,40600,GBR,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Slalom,
81,41131,RUS,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",
82,41639,ARG,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,
83,42161,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Pole Vault,
84,42689,CRC,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,
85,43136,NED,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,
86,43610,ESA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle,
87,44128,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
88,44619,MAR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 800 metres,
89,45124,FIN,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",
