Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
45610,AUS,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",
46107,ESP,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 3,000 metres Steeplechase",
46617,SUI,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's epee, Team",
47115,UKR,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,
47581,CAN,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,
48104,ARG,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Featherweight,
48602,HKG,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,
49106,NOR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Double Sculls,
49607,CZE,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
50108,YUG,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Pairs,
