Athlete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
105426,GBR,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 5,000 metres",
105956,CAN,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Sabre, Team",
106433,ITA,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Mixed Ice Dancing,
106960,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 100 metres,
107459,FRG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Floor Exercise,
107927,USA,1904 Summer,1904,Summer,St. Louis,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports",
108424,ROU,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,
108980,FRA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Gymnastics Women's Individual All-Around,
109503,URS,1952 Summer,1952,Summer,Helsinki,Equestrianism,"Equestrianism Men's Jumping, Team",
110000,BLR,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,
